author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/306599723/;Москва;sale;flat;9;9;-1;31.2;55848000.0;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679846/;Москва;sale;flat;7;20;1;27.87;14850725.0;Даниловский;;;Тульская;Форст ЖК
Елена Стометова;realtor;https://www.cian.ru/sale/flat/307154562/;Москва;sale;flat;-1;-1;-1;-1.0;4650000.0;Даниловский;Автозаводская ;19К1;Автозаводская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/301910802/;Москва;sale;flat;3;27;1;27.6;15925200.0;Басманный; Фридриха Энгельса;56;Бауманская;Дом 56
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679583/;Москва;sale;flat;6;20;1;24.93;13984508.0;Даниловский;Автозаводская ;26;Тульская;FORST
ID 71425028;unknown;https://www.cian.ru/sale/flat/307589922/;Москва;sale;flat;2;8;1;36.0;8950000.0;Тимирязевский;Дмитровское шоссе;46К1;Петровско-Разумовская;
MR Group;developer;https://www.cian.ru/sale/flat/307413632/;Москва;sale;flat;2;21;1;22.9;12521949.0;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307006861/;Москва;sale;flat;5;6;-1;28.8;11500000.0;Ростокино;проспект Мира;188Бк2;Ростокино;Триколор
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305916876/;Москва;sale;flat;4;4;-1;13.5;4255000.0;Марфино;Малая Ботаническая ;10А;Фонвизинская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196100/;Москва;sale;flat;10;25;1;23.9;13717094.0;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679586/;Москва;sale;flat;7;20;1;27.73;14584621.0;Даниловский;Автозаводская ;26;Тульская;FORST
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/303965382/;Москва;sale;flat;1;6;-1;16.8;3696000.0;Марфино;Гостиничный проезд;8К1;Окружная;
Среда;developer;https://www.cian.ru/sale/flat/306383368/;Москва;sale;flat;3;13;1;23.5;11350029.0;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
ID 111240424;homeowner;https://www.cian.ru/sale/flat/308000690/;Москва;sale;flat;2;50;1;30.0;19000000.0;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
GloraX;developer;https://www.cian.ru/sale/flat/303476993/;Москва;sale;flat;2;21;-1;35.5;21329999.0;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
Среда;developer;https://www.cian.ru/sale/flat/304774967/;Москва;sale;flat;4;44;1;23.03;11704997.0;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
ID 85604823;unknown;https://www.cian.ru/sale/flat/307610760/;Москва;sale;flat;3;15;1;30.0;19000000.0;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/306234673/;Москва;sale;flat;1;5;-1;12.0;2950000.0;Котловка;Нагорная ;22К2;Нагорная;
FORMA;developer;https://www.cian.ru/sale/flat/305605383/;Москва;sale;flat;5;33;1;27.36;20205360.0;Пресненский; Пресненский Вал;27С6;Белорусская;Republic
DOLGOV PRO;real_estate_agent;https://www.cian.ru/sale/flat/294355446/;Москва;sale;flat;10;14;1;28.7;18500000.0;Лефортово;проезд Шелихова;3;Площадь Ильича;Символ
ID 71425028;unknown;https://www.cian.ru/sale/flat/307676305/;Москва;sale;flat;2;8;-1;23.5;7550000.0;Тимирязевский;Дмитровское шоссе;46К1;Петровско-Разумовская;
MR Group;developer;https://www.cian.ru/sale/flat/306610091/;Москва;sale;flat;8;59;1;20.6;12924440.0;Можайский;;;Давыдково;Веер ЖК
Дмитрий Асташов;realtor;https://www.cian.ru/sale/flat/307182224/;Москва;sale;flat;11;14;1;35.5;22500000.0;Хамовники;Большой Саввинский переулок;10С1;Киевская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307777295/;Москва;sale;flat;3;6;-1;30.0;5790000.0;Северное Медведково;Полярная ;31С1;Медведково;
MR Group;developer;https://www.cian.ru/sale/flat/303148951/;Москва;sale;flat;3;36;1;27.12;17934456.0;Савеловский;;;Дмитровская;Симфония 34 ЖК
Алексей Рыбаков;realtor;https://www.cian.ru/sale/flat/306601858/;Москва;sale;flat;4;5;1;15.5;6555000.0;Головинский;Солнечногорская ;7к1;Моссельмаш;
Елена Орлова;realtor;https://www.cian.ru/sale/flat/306217246/;Москва;sale;flat;1;5;-1;14.0;2450000.0;Даниловский;Павелецкая набережная;4;Крестьянская застава;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196060/;Москва;sale;flat;16;27;1;23.1;12679267.0;Щукино; Берзарина;;Щукинская;Октябрьское поле
ID 111240424;homeowner;https://www.cian.ru/sale/flat/308003642/;Москва;sale;flat;28;41;1;30.0;19000000.0;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/307909297/;Москва;sale;flat;5;5;-1;13.0;2899999.0;Марьина роща;Стрелецкая ;6;Марьина Роща;
MR Group;developer;https://www.cian.ru/sale/flat/306603345/;Москва;sale;flat;21;36;1;29.3;26272255.0;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301612331/;Москва;sale;flat;5;10;-1;34.0;13200000.0;Ростокино;проспект Мира;188Бк2;Ростокино;Триколор
ID 474445;homeowner;https://www.cian.ru/sale/flat/305853295/;Москва;sale;flat;1;5;-1;20.8;4500000.0;Хорошевский;3-я Магистральная ;20Б;Шелепиха;
Мангазея;developer;https://www.cian.ru/sale/flat/307851589/;Москва;sale;flat;8;40;1;33.9;18912810.0;Даниловский;Большая Тульская ;10с25;Тульская;Мангазея на Тульской
ID 112609323;realtor;https://www.cian.ru/sale/flat/307204624/;Москва;sale;flat;4;6;-1;35.17;56272000.0;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/302652575/;Москва;sale;flat;5;5;-1;32.5;4450000.0;; Жемчужная;1к16;Филатов Луг;Марьино Град
Ташир;developer;https://www.cian.ru/sale/flat/302722410/;Москва;sale;flat;4;16;-1;24.0;13749600.0;Даниловский;Малая Тульская ;2;Тульская;DECO RESIDENCE (Апартаменты премиум-класса)
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/300113349/;Москва;sale;flat;4;15;1;28.1;6769000.0;;;;Ольховая;Новые Ватутинки, мкр. Заречный
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/305056468/;Москва;sale;flat;4;9;1;12.8;4300000.0;Очаково-Матвеевское;Аминьевское шоссе;7;Аминьевская;New Form Аминьевское
Forma;developer;https://www.cian.ru/sale/flat/297983441/;Москва;sale;flat;16;20;1;23.8;14427441.0;Аэропорт;Северный ао;к1;Сокол;Соул ЖК
ID 66341073;realtor;https://www.cian.ru/sale/flat/307096946/;Москва;sale;flat;14;23;1;29.0;19500000.0;Хорошево-Мневники; Нижние Мневники;16к4;Мнёвники;Остров
МДМ-квартира;real_estate_agent;https://www.cian.ru/sale/flat/300392211/;Москва;sale;flat;1;3;-1;31.0;2750000.0;; Центральная;22;Крёкшино;Первомайское
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196528/;Москва;sale;flat;5;20;1;25.1;10860896.0;Головинский;Михалковская ;48С4;Коптево;Михалковский
Алексей Рыбаков;realtor;https://www.cian.ru/sale/flat/306600164/;Москва;sale;flat;2;5;1;14.7;6571000.0;Головинский;Солнечногорская ;7к1;Моссельмаш;
Константин Кудрявцев;realtor;https://www.cian.ru/sale/flat/307303087/;Москва;sale;flat;2;8;1;21.2;6900000.0;Тимирязевский;Дмитровское шоссе;46К1;Петровско-Разумовская;
GloraX;developer;https://www.cian.ru/sale/flat/303476996/;Москва;sale;flat;2;21;-1;34.19;20709999.0;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/299019835/;Москва;sale;flat;7;26;1;31.0;25990000.0;Пресненский; Пресненский Вал;27С2;Белорусская;Republic
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/304259004/;Москва;sale;flat;1;4;-1;15.4;3200000.0;Таганский;1-я Дубровская ;5А;Пролетарская;
Донстрой;developer;https://www.cian.ru/sale/flat/306643425/;Москва;sale;flat;3;50;1;22.3;15112710.0;Раменки;м. Мичуринский проспект;;Мичуринский проспект;Событие
Александр Сазонов;realtor;https://www.cian.ru/sale/flat/295998456/;Москва;sale;flat;1;5;-1;16.0;5700000.0;Беговой; Новая Башиловка;6;Динамо;
Елена Орлова;realtor;https://www.cian.ru/sale/flat/304031479/;Москва;sale;flat;1;5;-1;8.0;1950000.0;Аэропорт; 8 Марта;15;Гражданская;
Донстрой;developer;https://www.cian.ru/sale/flat/307351227/;Москва;sale;flat;3;21;1;24.6;13677600.0;Лефортово;;;Римская;Символ ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307743652/;Москва;sale;flat;15;29;1;27.0;16100000.0;Очаково-Матвеевское;Аминьевское шоссе;4Дк2;Аминьевская;Вестердам
Дома Мечты;real_estate_agent;https://www.cian.ru/sale/flat/307135727/;Москва;sale;flat;1;5;1;10.2;2699999.0;Богородское;Просторная ;15К2;Бульвар Рокоссовского;
